,Symbol,Name,Industry,IndustryCode
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",571060
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
2,AMZN,Amazon.com Inc,다양한 소매업,534020
3,TSLA,Tesla Inc,자동차 및 자동차 부품,531010
4,FB,Facebook Inc Class A,소프트웨어 및 IT서비스,572010
5,GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
6,GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
7,NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
8,PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
9,NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
10,INTC,Intel Corp,반도체 및 반도체 장비,571010
11,CMCSA,Comcast Corp Class A,미디어 및 출판,533020
12,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
13,ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
14,PDD,Pinduoduo Inc ADR,소프트웨어 및 IT서비스,572010
15,AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
16,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,571020
17,PEP,PepsiCo Inc,음료,541010
18,QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010
19,TMUS,T-Mobile US Inc,통신 서비스,574010
20,TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
21,COST,Costco Wholesale Corp,다양한 소매업,534020
22,ZIONO,Zions Bancorporation NA ADR,은행,551010
23,JD,JD.Com Inc ADR,다양한 소매업,534020
24,AMGN,Amgen Inc,제약,562010
25,AZN,AstraZeneca PLC ADR,제약,562010
26,ZIONN,Zions Bancorporation NA ADR,은행,551010
27,SBUX,Starbucks Corp,호텔 및 엔터테인먼트,533010
28,CHTR,Charter Communications Inc Class A,통신 서비스,574010
29,SNY,Sanofi SA ADR,제약,562010
30,ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
31,ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
32,AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010
33,INTU,Intuit Inc,소프트웨어 및 IT서비스,572010
34,MELI,Mercadolibre Inc,소프트웨어 및 IT서비스,572010
35,AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010
36,MU,Micron Technology Inc,반도체 및 반도체 장비,571010
37,ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
38,BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
39,NTES,NetEase Inc ADR,소프트웨어 및 IT서비스,572010
40,BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
41,GILD,Gilead Sciences Inc,생명과학 및 메디컬 리서치,562020
42,MDLZ,Mondelez International Inc Class A,식품 및 담배,541020
43,FISV,Fiserv Inc,전문 및 상업 서비스,522030
44,LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
45,ATVI,Activision Blizzard Inc,소프트웨어 및 IT서비스,572010
46,ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
47,CME,CME Group Inc Class A,투자은행 및 서비스,551020
48,CSX,CSX Corp,화물 및 물류 서비스,524050
49,EQIX,Equinix Inc,주택 및 상업용 리츠,601020
50,ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
51,ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
52,MRNA,Moderna Inc,생명과학 및 메디컬 리서치,562020
53,TEAM,Atlassian Corporation PLC Class A,소프트웨어 및 IT서비스,572010
54,WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
55,VRTX,Vertex Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
56,ADI,Analog Devices Inc,반도체 및 반도체 장비,571010
57,REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
58,ROKU,Roku Inc Class A,미디어 및 출판,533020
59,NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
60,CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
61,MNST,Monster Beverage Corp,음료,541010
62,VOD,Vodafone Group PLC ADR,통신 서비스,574010
63,KLAC,KLA Corp,반도체 및 반도체 장비,571010
64,BILI,Bilibili Inc ADR,소프트웨어 및 IT서비스,572010
65,KDP,Keurig Dr Pepper Inc,음료,541010
66,LULU,Lululemon Athletica Inc,섬유 및 의류,532020
67,DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
68,ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
69,IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
70,PTON,Peloton Interactive Inc Class A,레저 상품,532050
71,EA,Electronic Arts Inc,소프트웨어 및 IT서비스,572010
72,CTSH,Cognizant Technology Solutions Corp Class A,소프트웨어 및 IT서비스,572010
73,BIIB,Biogen Inc,제약,562010
74,WBA,Walgreens Boots Alliance Inc,식품 및 약품소매,543010
75,EXC,Exelon Corp,전기 유틸리티,591010
76,ROST,Ross Stores Inc,전문품 상점,534030
77,SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010
78,AEP,American Electric Power Company Inc,전기 유틸리티,591010
79,KHC,Kraft Heinz Co,식품 및 담배,541020
80,MTCH,Match Group Inc,소프트웨어 및 IT서비스,572010
81,MAR,Marriott International Inc Class A,호텔 및 엔터테인먼트,533010
82,EBAY,eBay Inc,소프트웨어 및 IT서비스,572010
83,ERIC,Telefonaktiebolaget LM Ericsson ADR,커뮤니케이션 및 네트워킹,571020
84,TTD,Trade Desk Inc Class A,소프트웨어 및 IT서비스,572010
85,DXCM,DexCom Inc,헬스케어 장비 및 용품,561010
86,CDNS,Cadence Design Systems Inc,소프트웨어 및 IT서비스,572010
87,MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010
88,CSGP,CoStar Group Inc,소프트웨어 및 IT서비스,572010
89,OKTA,Okta Inc Class A,소프트웨어 및 IT서비스,572010
90,TROW,T. Rowe Price Group Inc,투자은행 및 서비스,551020
91,MRVL,Marvell Technology Group Ltd,반도체 및 반도체 장비,571010
92,CTAS,Cintas Corp,전문 및 상업 서비스,522030
93,ALXN,Alexion Pharmaceuticals Inc,제약,562010
94,XEL,Xcel Energy Inc,전기 유틸리티,591010
95,XLNX,Xilinx Inc,반도체 및 반도체 장비,571010
96,TSCAP,TriState Capital Holdings Inc ADR,은행,551010
97,PAYX,Paychex Inc,전문 및 상업 서비스,522030
98,DDOG,Datadog Inc Class A,소프트웨어 및 IT서비스,572010
99,ORLY,O'Reilly Automotive Inc,전문품 상점,534030
100,ANSS,ANSYS Inc,소프트웨어 및 IT서비스,572010
101,BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
102,PLUG,Plug Power Inc,재생에너지,502010
103,PCAR,Paccar Inc,"건설장비 및 대형차, 기차, 배",521020
104,LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
105,SBAC,SBA Communications Corp Class A,주택 및 상업용 리츠,601020
106,VRSK,Verisk Analytics Inc,소프트웨어 및 IT서비스,572010
107,SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
108,SGEN,Seagen Inc,생명과학 및 메디컬 리서치,562020
109,RPRX,Royalty Pharma PLC Class A,제약,562010
110,IBKR,Interactive Brokers Group Inc Class A,투자은행 및 서비스,551020
111,ZS,Zscaler Inc,소프트웨어 및 IT서비스,572010
112,VIAC,ViacomCBS Inc Class B,미디어 및 출판,533020
113,SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
114,AFRM,Affirm Holdings Inc Class A,소프트웨어 및 IT서비스,572010
115,BNTX,BioNTech SE ADR,생명과학 및 메디컬 리서치,562020
116,XP,Xp Inc Class A,투자은행 및 서비스,551020
117,WLTW,Willis Towers Watson PLC,보험,553010
118,LI,Li Auto Inc. ADR,자동차 및 자동차 부품,531010
119,CPRT,Copart Inc,전문품 상점,534030
120,FAST,Fastenal Co,"건설장비 및 대형차, 기차, 배",521020
121,GMAB,Genmab A/S ADR,생명과학 및 메디컬 리서치,562020
122,ETSY,ETSY Inc,다양한 소매업,534020
123,XM,Qualtrics International Inc Class A,소프트웨어 및 IT서비스,572010
124,SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
125,FTNT,Fortinet Inc,소프트웨어 및 IT서비스,572010
126,CERN,Cerner Corp,헬스케어 장비 및 용품,561010
127,DLTR,Dollar Tree Inc,다양한 소매업,534020
128,ENPH,Enphase Energy Inc,재생에너지,502010
129,SIVB,SVB Financial Group,은행,551010
130,MXIM,Maxim Integrated Products Inc,반도체 및 반도체 장비,571010
131,STNE,StoneCo Ltd Class A,핀테크,573010
132,Z,Zillow Group Inc Class C,부동산 운영 관리,601010
133,ODFL,Old Dominion Freight Line Inc,화물 및 물류 서비스,524050
134,COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
135,TTWO,Take-Two Interactive Software Inc,레저 상품,532050
136,MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
137,NDAQ,Nasdaq Inc,투자은행 및 서비스,551020
138,DKNG,Draftkings Inc Class A,호텔 및 엔터테인먼트,533010
139,YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
140,VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
141,GRMN,Garmin Ltd,커뮤니케이션 및 네트워킹,571020
142,EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
143,RYAAY,Ryanair Holdings PLC ADR,운송업,524060
144,MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
145,ZBRA,Zebra Technologies Corp Class A,전자 장비 및 부품,571040
146,FITB,Fifth Third Bancorp,은행,551010
147,VTRS,Viatris Inc,제약,562010
148,HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
149,GDS,GDS Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
150,QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
151,INCY,Incyte Corp,생명과학 및 메디컬 리서치,562020
152,CDW,CDW Corp,소프트웨어 및 IT서비스,572010
153,TER,Teradyne Inc,반도체 및 반도체 장비,571010
154,GDRX,Goodrx Holdings Inc Class A,소프트웨어 및 IT서비스,572010
155,IAC,IAC/Interactivecorp,소프트웨어 및 IT서비스,572010
156,ZI,ZoomInfo Technologies Inc Class A,소프트웨어 및 IT서비스,572010
157,TXG,10X Genomics Inc,헬스케어 장비 및 용품,561010
158,WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
159,EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
160,NTRS,Northern Trust Corp,투자은행 및 서비스,551020
161,LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
162,TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
163,CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
164,HZNP,Horizon Therapeutics PLC,제약,562010
165,CVAC,CureVac NV,생명과학 및 메디컬 리서치,562020
166,AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
167,PODD,Insulet Corp,헬스케어 장비 및 용품,561010
168,ALNY,Alnylam Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
169,TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
170,NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
171,WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
172,IQ,IQIYI Inc ADR,소프트웨어 및 IT서비스,572010
173,PENN,Penn National Gaming Inc,호텔 및 엔터테인먼트,533010
174,WISH,ContextLogic Inc Class A,소프트웨어 및 IT서비스,572010
175,MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010
176,NVAX,Novavax Inc,생명과학 및 메디컬 리서치,562020
177,BPY,Brookfield Property Partners LP Unit,부동산 운영 관리,601010
178,NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
179,SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
180,TSCO,Tractor Supply Co,전문품 상점,534030
181,CTXS,Citrix Systems Inc,소프트웨어 및 IT서비스,572010
182,ULTA,Ulta Beauty Inc,전문품 상점,534030
183,PTC,PTC Inc,소프트웨어 및 IT서비스,572010
184,HTHT,Huazhu Group Ltd ADR,호텔 및 엔터테인먼트,533010
185,GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
186,FUTU,Futu Holdings Ltd ADR,핀테크,573010
187,CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
188,DISH,DISH Network Corp Class A,미디어 및 출판,533020
189,STX,Seagate Technology PLC,"컴퓨터, 전화 및 가전제품",571060
190,ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
191,SEDG,Solaredge Technologies Inc,재생에너지,502010
192,ZLAB,Zai Lab Ltd ADR,제약,562010
193,CGC,Canopy Growth Corp,제약,562010
194,OPEN,Opendoor Technologies Inc Class A,부동산 운영 관리,601010
195,WIX,Wix.Com Ltd,소프트웨어 및 IT서비스,572010
196,EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
197,ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
198,ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010
199,BMRN,Biomarin Pharmaceutical Inc,제약,562010
200,LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
201,TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
202,CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
203,JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
204,TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
205,NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
206,MASI,Masimo Corp,헬스케어 장비 및 용품,561010
207,POOL,Pool Corp,레저 상품,532050
208,RUN,Sunrun Inc,재생에너지,502010
209,CINF,Cincinnati Financial Corp,보험,553010
210,PFG,Principal Financial Group Inc,보험,553010
211,HBAN,Huntington Bancshares Inc,은행,551010
212,APPN,Appian Corp Class A,소프트웨어 및 IT서비스,572010
213,NUAN,Nuance Communications Inc,소프트웨어 및 IT서비스,572010
214,ACGL,Arch Capital Group Ltd,보험,553010
215,IEP,Icahn Enterprises LP Unit,오일 및 가스,501020
216,ENTG,Entegris Inc,반도체 및 반도체 장비,571010
217,HAS,Hasbro Inc,레저 상품,532050
218,NLOK,NortonLifeLock Inc,소프트웨어 및 IT서비스,572010
219,CREE,Cree Inc,반도체 및 반도체 장비,571010
220,KC,Kingsoft Cloud Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
221,ABCL,Abcellera Biologics Inc,생명과학 및 메디컬 리서치,562020
222,UAL,United Airlines Holdings Inc,운송업,524060
223,OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
224,IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
225,CRSP,CRISPR Therapeutics AG,생명과학 및 메디컬 리서치,562020
226,LNT,Alliant Energy Corp,전기 유틸리티,591010
227,BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
228,PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
229,FFIV,F5 Networks Inc,소프트웨어 및 IT서비스,572010
230,XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
231,PLTK,Playtika Holding Corp,소프트웨어 및 IT서비스,572010
232,CG,Carlyle Group Inc,투자은행 및 서비스,551020
233,CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
234,RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
235,ERIE,Erie Indemnity Co Class A,보험,553010
236,JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
237,WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
238,FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
239,OLED,Universal Display Corp,반도체 및 반도체 장비,571010
240,ZNGA,Zynga Inc Class A,소프트웨어 및 IT서비스,572010
241,LKQ,LKQ Corp,자동차 및 자동차 부품,531010
242,DISCK,Discovery Inc Series C,미디어 및 출판,533020
243,WB,Weibo Corp ADR,미디어 및 출판,533020
244,OZON,Ozon Holdings PLC ADR,전자 장비 및 부품,571040
245,PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
246,PEGA,Pegasystems Inc,소프트웨어 및 IT서비스,572010
247,ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
248,NWL,Newell Brands Inc,가정용품,532040
249,NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
250,NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
251,AXON,Axon Enterprise Inc,우주항공 및 국방,521010
252,LAZR,Luminar Technologies Inc Class A,전자 장비 및 부품,571040
253,BYND,Beyond Meat Inc,식품 및 담배,541020
254,MORN,Morningstar Inc,전문 및 상업 서비스,522030
255,DADA,Dada Nexus Ltd ADR,소프트웨어 및 IT서비스,572010
256,FSLR,First Solar Inc,재생에너지,502010
257,AAL,American Airlines Group Inc,운송업,524060
258,FOXA,Fox Corp Class A,미디어 및 출판,533020
259,BLDP,Ballard Power Systems Inc,재생에너지,502010
260,ZG,Zillow Group Inc Class A,부동산 운영 관리,601010
261,NTRA,Natera Inc,헬스케어 장비 및 용품,561010
262,FIVE,Five Below Inc,다양한 소매업,534020
263,RARE,Ultragenyx Pharmaceutical Inc,생명과학 및 메디컬 리서치,562020
264,HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
265,GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
266,LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
267,QDEL,Quidel Corp,헬스케어 장비 및 용품,561010
268,MRTX,Mirati Therapeutics Inc,생명과학 및 메디컬 리서치,562020
269,HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
270,TWST,Twist Bioscience Corp,제약,562010
271,DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
272,DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
273,SBNY,Signature Bank,은행,551010
274,AMED,Amedisys Inc,헬스케어 업체 및 서비스,561020
275,UHAL,Amerco,화물 및 물류 서비스,524050
276,AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
277,MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
278,FLEX,Flex Ltd,전자 장비 및 부품,571040
279,LBTYK,Liberty Global PLC Class C,미디어 및 출판,533020
280,FANG,Diamondback Energy Inc,오일 및 가스,501020
281,CONE,CyrusOne Inc,주택 및 상업용 리츠,601020
282,MRVI,Maravai LifeSciences Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
283,IIVI,II-VI Inc,전자 장비 및 부품,571040
284,LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
285,IPHI,Inphi Corp,반도체 및 반도체 장비,571010
286,FATE,Fate Therapeutics Inc,생명과학 및 메디컬 리서치,562020
287,MCFE,Mcafee Corp Class A,소프트웨어 및 IT서비스,572010
288,EWBC,East West Bancorp Inc,은행,551010
289,RP,RealPage Inc,소프트웨어 및 IT서비스,572010
290,NKLA,Nikola Corporation,자동차 및 자동차 부품,531010
291,FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
292,AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
293,JAZZ,Jazz Pharmaceuticals PLC,제약,562010
294,BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
295,DNLI,Denali Therapeutics Inc,생명과학 및 메디컬 리서치,562020
296,LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
297,IONS,Ionis Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
298,GNTX,Gentex Corp,자동차 및 자동차 부품,531010
299,EXPI,eXp World Holdings Inc,부동산 운영 관리,601010
300,ARWR,Arrowhead Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
301,SFIX,Stitch Fix Inc Class A,소프트웨어 및 IT서비스,572010
302,NFE,New Fortress Energy Inc Class A,천연가스 유틸리티,591020
303,ADPT,Adaptive Biotechnologies Corp,생명과학 및 메디컬 리서치,562020
304,BLDR,Builders FirstSource Inc,주택건설,532030
305,RDFN,Redfin Corp,부동산 운영 관리,601010
306,YY,JOYY Inc ADR,소프트웨어 및 IT서비스,572010
307,CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
308,ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
309,SEIC,SEI Investments Co,투자은행 및 서비스,551020
310,SYNH,Syneos Health Inc Class A,생명과학 및 메디컬 리서치,562020
311,CBSH,Commerce Bancshares Inc,은행,551010
312,PRAH,PRA Health Sciences Inc,생명과학 및 메디컬 리서치,562020
313,REG,Regency Centers Corp,주택 및 상업용 리츠,601020
314,BL,Blackline Inc,소프트웨어 및 IT서비스,572010
315,ACAD,ACADIA Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
316,MLCO,Melco Resorts & Entertainment Ltd ADR,호텔 및 엔터테인먼트,533010
317,PFPT,Proofpoint Inc,소프트웨어 및 IT서비스,572010
318,NWSA,News Corp Class A,미디어 및 출판,533020
319,BBIO,BridgeBio Pharma Inc,제약,562010
320,FOX,Fox Corp Class B,미디어 및 출판,533020
321,VIR,Vir Biotechnology Inc,생명과학 및 메디컬 리서치,562020
322,MIDD,Middleby Corp,가정용품,532040
323,ANGI,ANGI Homeservices Inc Class A,소프트웨어 및 IT서비스,572010
324,UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
325,ZION,Zions Bancorporation NA,은행,551010
326,ARCC,Ares Capital Corp,다양한 금융서비스,555010
327,SPWR,SunPower Corp,재생에너지,502010
328,STLD,Steel Dynamics Inc,메탈&마이닝,512010
329,API,Agora Inc ADR,소프트웨어 및 IT서비스,572010
330,WWD,Woodward Inc,"건설장비 및 대형차, 기차, 배",521020
331,MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
332,SHC,Sotera Health Co,헬스케어 업체 및 서비스,561020
333,CHNG,Change Healthcare Inc,소프트웨어 및 IT서비스,572010
334,XLRN,Acceleron Pharma Inc,생명과학 및 메디컬 리서치,562020
335,ONEM,1Life Healthcare Inc,헬스케어 업체 및 서비스,561020
336,ALLK,Allakos Inc,생명과학 및 메디컬 리서치,562020
337,SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
338,FLIR,FLIR Systems Inc,커뮤니케이션 및 네트워킹,571020
339,KOD,Kodiak Sciences Inc,생명과학 및 메디컬 리서치,562020
340,EXEL,Exelixis Inc,생명과학 및 메디컬 리서치,562020
341,CASY,Caseys General Stores Inc,식품 및 약품소매,543010
342,LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
343,IOVA,Iovance Biotherapeutics Inc,생명과학 및 메디컬 리서치,562020
344,RGLD,Royal Gold Inc,메탈&마이닝,512010
345,TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
346,AVIR,Atea Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
347,GLPG,Galapagos NV ADR,생명과학 및 메디컬 리서치,562020
348,FCEL,Fuelcell Energy Inc,재생에너지,502010
349,EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
350,HALO,Halozyme Therapeutics Inc,생명과학 및 메디컬 리서치,562020
351,LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
352,NCNO,nCino Inc,소프트웨어 및 IT서비스,572010
353,TGTX,TG Therapeutics Inc,생명과학 및 메디컬 리서치,562020
354,IRDM,Iridium Communications Inc,통신 서비스,574010
355,PAAS,Pan American Silver Corp,메탈&마이닝,512010
356,DCT,Duck Creek Technologies Inc,소프트웨어 및 IT서비스,572010
357,NTNX,Nutanix Inc Class A,소프트웨어 및 IT서비스,572010
358,PACB,Pacific Biosciences of California Inc,헬스케어 장비 및 용품,561010
359,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,572010
360,CD,Chindata Group Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
361,CYBR,Cyberark Software Ltd,소프트웨어 및 IT서비스,572010
362,SHLS,Shoals Technologies Group Inc Class A,재생에너지,502010
363,DISCA,Discovery Inc Series A,미디어 및 출판,533020
364,MAT,Mattel Inc,레저 상품,532050
365,LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
366,MSTR,MicroStrategy Inc Class A,소프트웨어 및 IT서비스,572010
367,CDK,CDK Global Inc,소프트웨어 및 IT서비스,572010
368,TPTX,Turning Point Therapeutics Inc,생명과학 및 메디컬 리서치,562020
369,NEO,Neogenomics Inc,헬스케어 업체 및 서비스,561020
370,BRKS,Brooks Automation Inc,반도체 및 반도체 장비,571010
371,LHCG,LHC Group Inc,헬스케어 업체 및 서비스,561020
372,PAA,Plains All American Pipeline LP,오일 및 가스 장비 및 서비스,501030
373,FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
374,REYN,Reynolds Consumer Products Inc,용기 및 포장,513020
375,DOOO,BRP Inc,레저 상품,532050
376,HQY,Healthequity Inc,소프트웨어 및 IT서비스,572010
377,FSV,FirstService Corp,부동산 운영 관리,601010
378,SRCL,Stericycle Inc,전문 및 상업 서비스,522030
379,AVGOP,Broadcom Inc Convertible Preference Shares Series A,반도체 및 반도체 장비,571010
380,TCF,TCF Financial Corp,은행,551010
381,FRPT,Freshpet Inc,식품 및 담배,541020
382,SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
383,ALGM,Allegro Microsystems Inc,반도체 및 반도체 장비,571010
384,ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
385,COLM,Columbia Sportswear Co,섬유 및 의류,532020
386,OLLI,Ollie's Bargain Outlet Holdings Inc,다양한 소매업,534020
387,VRNS,Varonis Systems Inc,소프트웨어 및 IT서비스,572010
388,LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
389,WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
390,TNDM,Tandem Diabetes Care Inc,헬스케어 장비 및 용품,561010
391,APA,Apache Corp,오일 및 가스,501020
392,PBCT,People's United Financial Inc,은행,551010
393,HELE,Helen of Troy Ltd,가정용품,532040
394,FROG,Jfrog Ltd,소프트웨어 및 IT서비스,572010
395,BEAM,Beam Therapeutics Inc,생명과학 및 메디컬 리서치,562020
396,CNXC,Concentrix Corp,전문 및 상업 서비스,522030
397,UPWK,Upwork Inc,전문 및 상업 서비스,522030
398,FIZZ,National Beverage Corp,음료,541010
399,CACC,Credit Acceptance Corp,은행,551010
400,IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
401,APPS,Digital Turbine Inc,소프트웨어 및 IT서비스,572010
402,CLOV,Clover Health Investments Corp Class A,헬스케어 장비 및 용품,561010
403,WOOF,Petco Health and Wellness Company Inc Class A,전문품 상점,534030
404,FFIN,First Financial Bankshares Inc,은행,551010
405,SLM,SLM Corp,은행,551010
406,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
407,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,562020
408,QLYS,Qualys Inc,소프트웨어 및 IT서비스,572010
409,NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
410,LSTR,Landstar System Inc,화물 및 물류 서비스,524050
411,ARRY,Array Technologies Inc,재생에너지,502010
412,LESL,Leslie's Inc,레저 상품,532050
413,UPST,Upstart Holdings Inc,은행,551010
414,APPF,Appfolio Inc Class A,소프트웨어 및 IT서비스,572010
415,TENB,Tenable Holdings Inc,소프트웨어 및 IT서비스,572010
416,VIRT,Virtu Financial Inc Class A,투자은행 및 서비스,551020
417,ROOT,Root Inc Class A,보험,553010
418,CERT,Certara Inc,소프트웨어 및 IT서비스,572010
419,VNET,21Vianet Group Inc ADR,소프트웨어 및 IT서비스,572010
